District Name,Market Name,Variety,Price Date,Price Date,Modal Price (Rs./Quintal)
Akola,Akot,H-4(A) 27mm FIne,Feb,2018,4950
Akola,Akot,H-4(A) 27mm FIne,Feb,2017,5733
Akola,Akot,H-4(A) 27mm FIne,Dec,2017,5350
Akola,Akot,H-4(A) 27mm FIne,Apr,2017,5700
Akola,Akot,H-4(A) 27mm FIne,Mar,2017,5740
Akola,Akot,H-4(A) 27mm FIne,Feb,2018,5000
Akola,Akot,H-4(A) 27mm FIne,Feb,2017,5708
Akola,Akot,H-4(A) 27mm FIne,Dec,2017,5300
Akola,Akot,H-4(A) 27mm FIne,Jan,2018,5300
Akola,Akot,H-4(A) 27mm FIne,Feb,2018,5000
Akola,Akot,H-4(A) 27mm FIne,Feb,2017,5650
Akola,Akot,H-4(A) 27mm FIne,Apr,2017,5600
Akola,Akot,H-4(A) 27mm FIne,Mar,2017,5745
Akola,Akot,H-4(A) 27mm FIne,Jan,2017,5685
Akola,Akot,H-4(A) 27mm FIne,Apr,2017,5600
Akola,Akot,H-4(A) 27mm FIne,Jan,2017,5560
Akola,Akot,H-4(A) 27mm FIne,Feb,2018,5000
Akola,Akot,H-4(A) 27mm FIne,Apr,2017,5600
Akola,Akot,H-4(A) 27mm FIne,Mar,2017,5695
Akola,Akot,H-4(A) 27mm FIne,Jan,2018,5250
Akola,Akot,H-4(A) 27mm FIne,Jan,2017,5557
Akola,Akot,H-4(A) 27mm FIne,Mar,2017,5425
Akola,Akot,H-4(A) 27mm FIne,Jan,2018,5300
Akola,Akot,H-4(A) 27mm FIne,Feb,2018,5000
Akola,Akot,H-4(A) 27mm FIne,Feb,2017,5725
Akola,Akot,H-4(A) 27mm FIne,Apr,2017,5368
Akola,Akot,H-4(A) 27mm FIne,Mar,2017,5705
Akola,Akot,H-4(A) 27mm FIne,Jan,2017,5643
Akola,Akot,H-4(A) 27mm FIne,Feb,2018,5100
Akola,Akot,H-4(A) 27mm FIne,Jan,2018,5400
Akola,Akot,H-4(A) 27mm FIne,Feb,2017,5825
Akola,Akot,H-4(A) 27mm FIne,Apr,2017,5610
Akola,Akot,H-4(A) 27mm FIne,Jan,2017,5763
Akola,Akot,H-4(A) 27mm FIne,Jan,2018,5400
Akola,Akot,H-4(A) 27mm FIne,Jan,2018,5300
Akola,Akot,H-4(A) 27mm FIne,Jan,2017,5672
Akola,Akot,H-4(A) 27mm FIne,Apr,2017,5633
Akola,Akot,H-4(A) 27mm FIne,Jan,2018,5200
Akola,Akot,H-4(A) 27mm FIne,Jan,2017,5665
Akola,Akot,H-4(A) 27mm FIne,Feb,2017,5725
Akola,Akot,H-4(A) 27mm FIne,Mar,2018,4950
Akola,Akot,H-4(A) 27mm FIne,Mar,2017,5715
Akola,Akot,H-4(A) 27mm FIne,Jan,2018,5300
Akola,Akot,H-4(A) 27mm FIne,Feb,2018,5100
Akola,Akot,H-4(A) 27mm FIne,Feb,2017,5805
Akola,Akot,H-4(A) 27mm FIne,Mar,2018,5000
Akola,Akot,H-4(A) 27mm FIne,Mar,2017,5743
Akola,Akot,H-4(A) 27mm FIne,Feb,2017,5760
Akola,Akot,H-4(A) 27mm FIne,May,2017,2600
Akola,Akot,H-4(A) 27mm FIne,Mar,2018,5100
Akola,Akot,H-4(A) 27mm FIne,Mar,2017,5733
Akola,Akot,H-4(A) 27mm FIne,Jan,2018,5350
Akola,Akot,H-4(A) 27mm FIne,Feb,2018,5100
Akola,Akot,H-4(A) 27mm FIne,Feb,2017,5798
Akola,Akot,H-4(A) 27mm FIne,Apr,2017,5665
Akola,Akot,H-4(A) 27mm FIne,Jan,2017,5588
Akola,Akot,H-4(A) 27mm FIne,Feb,2018,5150
Akola,Akot,H-4(A) 27mm FIne,Apr,2017,5690
Akola,Akot,H-4(A) 27mm FIne,Mar,2017,5728
Akola,Akot,H-4(A) 27mm FIne,Jan,2018,5400
Akola,Akot,H-4(A) 27mm FIne,Jan,2017,5578
Akola,Akot,H-4(A) 27mm FIne,Feb,2017,5840
Akola,Akot,H-4(A) 27mm FIne,May,2017,5200
Akola,Akot,H-4(A) 27mm FIne,Mar,2017,5590
Akola,Akot,H-4(A) 27mm FIne,Jan,2017,5613
Akola,Akot,H-4(A) 27mm FIne,Feb,2018,5200
Akola,Akot,H-4(A) 27mm FIne,May,2017,5520
Akola,Akot,H-4(A) 27mm FIne,Mar,2017,5780
Akola,Akot,H-4(A) 27mm FIne,Jan,2018,5300
Akola,Akot,H-4(A) 27mm FIne,Jan,2017,5600
Akola,Akot,H-4(A) 27mm FIne,Feb,2017,5875
Akola,Akot,H-4(A) 27mm FIne,Mar,2017,5620
Akola,Akot,H-4(A) 27mm FIne,Feb,2018,5100
Akola,Akot,H-4(A) 27mm FIne,Feb,2017,5780
Amarawati,Amarawati,Other,Jan,2017,5625
Amarawati,Amarawati,Other,Nov,2017,4550
Amarawati,Amarawati,Other,Jan,2018,4450
Amarawati,Amarawati,Other,Jan,2017,5713
Amarawati,Amarawati,Other,Dec,2017,5050
Amarawati,Amarawati,Other,Jan,2018,4625
Amarawati,Amarawati,Other,Dec,2017,5175
Amarawati,Amarawati,Other,Apr,2017,4800
Amarawati,Amarawati,Other,Jan,2017,5725
Amarawati,Amarawati,Other,Feb,2018,4525
Amarawati,Amarawati,Other,Feb,2017,5662
Amarawati,Amarawati,Other,Dec,2017,4925
Amarawati,Amarawati,Other,Mar,2017,5320
Amarawati,Amarawati,Other,Jan,2018,4675
Amarawati,Amarawati,Other,Jan,2017,5725
Amarawati,Amarawati,Other,Feb,2018,4500
Amarawati,Amarawati,Other,Feb,2017,5750
Amarawati,Amarawati,Other,Dec,2017,5000
Amarawati,Amarawati,Other,Feb,2018,4525
Amarawati,Amarawati,Other,Dec,2017,5000
Amarawati,Amarawati,Other,Mar,2017,5350
Amarawati,Amarawati,Other,Jan,2018,4625
Amarawati,Amarawati,Other,Jan,2017,5750
Amarawati,Amarawati,Other,Mar,2017,5375
Amarawati,Amarawati,Other,Jan,2018,4625
Amarawati,Amarawati,Other,Jan,2017,5813
Amarawati,Amarawati,Other,Feb,2018,4500
Amarawati,Amarawati,Other,Apr,2017,4900
Amarawati,Amarawati,Other,Mar,2017,5425
Amarawati,Amarawati,Other,Jan,2018,4900
Amarawati,Amarawati,Other,Feb,2018,4575
Amarawati,Amarawati,Other,Dec,2017,4960
Amarawati,Amarawati,Other,May,2017,4850
Amarawati,Amarawati,Other,Mar,2017,5450
Amarawati,Amarawati,Other,Jan,2018,4900
Amarawati,Amarawati,Other,Feb,2018,4575
Amarawati,Amarawati,Other,Feb,2017,5525
Amarawati,Amarawati,Other,Dec,2017,5000
Amarawati,Amarawati,Other,Apr,2017,5250
Amarawati,Amarawati,Other,Mar,2017,5460
Amarawati,Amarawati,Other,Feb,2018,4600
Amarawati,Amarawati,Other,Dec,2017,4950
Amarawati,Amarawati,Other,Apr,2017,5200
Amarawati,Amarawati,Other,Mar,2017,5375
Amarawati,Amarawati,Other,Jan,2018,4912
Amarawati,Amarawati,Other,Feb,2018,4575
Amarawati,Amarawati,Other,Dec,2017,4875
Amarawati,Amarawati,Other,Jan,2018,4750
Amarawati,Amarawati,Other,Jan,2017,5563
Amarawati,Amarawati,Other,Dec,2017,4900
Amarawati,Amarawati,Other,Apr,2017,5000
Amarawati,Amarawati,Other,Mar,2017,5325
Amarawati,Amarawati,Other,Jan,2018,4650
Amarawati,Amarawati,Other,Jan,2017,5550
Amarawati,Amarawati,Other,Dec,2017,4925
Amarawati,Amarawati,Other,Apr,2017,5115
Amarawati,Amarawati,Other,Mar,2017,5325
Amarawati,Amarawati,Other,Jan,2018,4862
Amarawati,Amarawati,Other,Jan,2017,5463
Amarawati,Amarawati,Other,Feb,2018,4550
Amarawati,Amarawati,Other,Feb,2017,5650
Amarawati,Amarawati,Other,Apr,2017,5150
Amarawati,Amarawati,Other,Mar,2017,5060
Amarawati,Amarawati,Other,Jan,2018,4900
Amarawati,Amarawati,Other,Jan,2017,5563
Amarawati,Amarawati,Other,Feb,2018,4562
Amarawati,Amarawati,Other,Feb,2017,5675
Amarawati,Amarawati,Other,Dec,2017,4875
Amarawati,Amarawati,Other,Mar,2017,5150
Amarawati,Amarawati,Other,Jan,2018,4825
Amarawati,Amarawati,Other,Feb,2018,4550
Amarawati,Amarawati,Other,Feb,2017,5675
Amarawati,Amarawati,Other,Dec,2017,4750
Amarawati,Amarawati,Other,Apr,2017,5150
Amarawati,Amarawati,Other,Mar,2017,5550
Amarawati,Amarawati,Other,Jan,2017,5625
Amarawati,Amarawati,Other,Feb,2018,4600
Amarawati,Amarawati,Other,Feb,2017,5650
Amarawati,Amarawati,Other,Dec,2017,4625
Amarawati,Amarawati,Other,Jan,2018,4825
Amarawati,Amarawati,Other,Jan,2017,5650
Amarawati,Amarawati,Other,Dec,2017,4613
Amarawati,Amarawati,Other,Apr,2017,5350
Amarawati,Amarawati,Other,Jan,2018,4825
Amarawati,Amarawati,Other,Jan,2017,5650
Amarawati,Amarawati,Other,Feb,2018,4525
Amarawati,Amarawati,Other,Dec,2017,4600
Amarawati,Amarawati,Other,Apr,2017,5350
Amarawati,Amarawati,Other,Jan,2017,5625
Amarawati,Amarawati,Other,Feb,2017,5738
Amarawati,Amarawati,Other,Dec,2017,4525
Amarawati,Amarawati,Other,Mar,2018,4500
Amarawati,Amarawati,Other,Mar,2017,5300
Amarawati,Amarawati,Other,Jan,2018,4712
Amarawati,Amarawati,Other,Jan,2017,5625
Amarawati,Amarawati,Other,Feb,2017,5675
Amarawati,Amarawati,Other,Apr,2017,5300
Amarawati,Amarawati,Other,Mar,2018,4475
Amarawati,Amarawati,Other,Mar,2017,5375
Amarawati,Amarawati,Other,Jan,2018,4775
Amarawati,Amarawati,Other,Jan,2017,5575
Amarawati,Amarawati,Other,Feb,2018,4625
Amarawati,Amarawati,Other,Feb,2017,5638
Amarawati,Amarawati,Other,Dec,2017,4525
Amarawati,Amarawati,Other,Mar,2018,4500
Amarawati,Amarawati,Other,Mar,2017,5550
Amarawati,Amarawati,Other,Jan,2018,4850
Amarawati,Amarawati,Other,Feb,2018,4563
Amarawati,Amarawati,Other,Feb,2017,5638
Amarawati,Amarawati,Other,Dec,2017,4500
Amarawati,Amarawati,Other,Apr,2017,5375
Amarawati,Amarawati,Other,Mar,2018,4525
Amarawati,Amarawati,Other,Jan,2017,5550
Amarawati,Amarawati,Other,Feb,2018,4600
Amarawati,Amarawati,Other,Feb,2017,5675
Amarawati,Amarawati,Other,Dec,2017,4550
Amarawati,Amarawati,Other,Apr,2017,5475
Amarawati,Amarawati,Other,Mar,2018,4550
Amarawati,Amarawati,Other,Jan,2018,4900
Amarawati,Amarawati,Other,Jan,2017,5540
Amarawati,Amarawati,Other,Feb,2018,4575
Amarawati,Amarawati,Other,Apr,2017,5500
Amarawati,Amarawati,Other,May,2017,4300
Amarawati,Amarawati,Other,Mar,2018,4550
Amarawati,Amarawati,Other,Jan,2018,4925
Amarawati,Amarawati,Other,Jan,2017,5450
Amarawati,Amarawati,Other,Feb,2018,4550
Amarawati,Amarawati,Other,Apr,2017,5420
Amarawati,Amarawati,Other,May,2017,4435
Amarawati,Amarawati,Other,Jan,2018,4912
Amarawati,Amarawati,Other,Jan,2017,5538
Amarawati,Amarawati,Other,Feb,2017,5763
Amarawati,Amarawati,Other,Mar,2018,4575
Amarawati,Amarawati,Other,Mar,2017,5525
Amarawati,Amarawati,Other,Jan,2017,5520
Amarawati,Amarawati,Other,Feb,2018,4600
Amarawati,Amarawati,Other,Feb,2017,5800
Amarawati,Amarawati,Other,Apr,2017,5400
Amarawati,Amarawati,Other,May,2017,4650
Amarawati,Amarawati,Other,Mar,2017,5525
Amarawati,Amarawati,Other,Jan,2018,4925
Amarawati,Amarawati,Other,Jan,2017,5425
Amarawati,Amarawati,Other,Feb,2018,4500
Amarawati,Amarawati,Other,Feb,2017,5675
Amarawati,Amarawati,Other,Mar,2017,5638
Amarawati,Amarawati,Other,Jan,2018,4938
Amarawati,Amarawati,Other,Feb,2018,4525
Amarawati,Amarawati,Other,Feb,2017,5630
Wardha,Arvi,H-4(A) 27mm FIne,May,2017,5200
Wardha,Arvi,H-4(A) 27mm FIne,Mar,2017,5650
Wardha,Arvi,H-4(A) 27mm FIne,Jan,2018,4700
Wardha,Arvi,H-4(A) 27mm FIne,Jan,2017,5635
Wardha,Arvi,H-4(A) 27mm FIne,Dec,2017,4900
Wardha,Arvi,H-4(A) 27mm FIne,Oct,2017,4200
Wardha,Arvi,H-4(A) 27mm FIne,Nov,2017,4500
Wardha,Arvi,H-4(A) 27mm FIne,May,2017,5200
Wardha,Arvi,H-4(A) 27mm FIne,Mar,2017,5600
Wardha,Arvi,H-4(A) 27mm FIne,Jun,2017,5230
Wardha,Arvi,H-4(A) 27mm FIne,Jan,2018,4700
Wardha,Arvi,H-4(A) 27mm FIne,Jan,2017,5725
Wardha,Arvi,H-4(A) 27mm FIne,Dec,2017,4900
Wardha,Arvi,H-4(A) 27mm FIne,Apr,2017,5200
Wardha,Arvi,H-4(A) 27mm FIne,Oct,2017,4180
Wardha,Arvi,H-4(A) 27mm FIne,Nov,2017,4500
Wardha,Arvi,H-4(A) 27mm FIne,May,2017,5200
Wardha,Arvi,H-4(A) 27mm FIne,Mar,2017,5600
Wardha,Arvi,H-4(A) 27mm FIne,Jun,2017,5200
Wardha,Arvi,H-4(A) 27mm FIne,Jan,2018,4800
Wardha,Arvi,H-4(A) 27mm FIne,Jan,2017,5725
Wardha,Arvi,H-4(A) 27mm FIne,Dec,2017,4900
Wardha,Arvi,H-4(A) 27mm FIne,Apr,2017,5200
Wardha,Arvi,H-4(A) 27mm FIne,Oct,2017,4200
Wardha,Arvi,H-4(A) 27mm FIne,Nov,2017,4500
Wardha,Arvi,H-4(A) 27mm FIne,May,2017,5200
Wardha,Arvi,H-4(A) 27mm FIne,Mar,2017,5600
Wardha,Arvi,H-4(A) 27mm FIne,Jun,2017,5200
Wardha,Arvi,H-4(A) 27mm FIne,Jan,2018,4800
Wardha,Arvi,H-4(A) 27mm FIne,Jan,2017,5735
Wardha,Arvi,H-4(A) 27mm FIne,Feb,2018,4650
Wardha,Arvi,H-4(A) 27mm FIne,Feb,2017,5630
Wardha,Arvi,H-4(A) 27mm FIne,Dec,2017,4800
Wardha,Arvi,H-4(A) 27mm FIne,Apr,2017,5300
Wardha,Arvi,H-4(A) 27mm FIne,Oct,2017,4100
Wardha,Arvi,H-4(A) 27mm FIne,Nov,2017,4550
Wardha,Arvi,H-4(A) 27mm FIne,May,2017,5200
Wardha,Arvi,H-4(A) 27mm FIne,Mar,2017,5650
Wardha,Arvi,H-4(A) 27mm FIne,Jun,2017,5200
Wardha,Arvi,H-4(A) 27mm FIne,Jan,2018,4750
Wardha,Arvi,H-4(A) 27mm FIne,Jan,2017,5730
